ID_hg38	n_unique_genes_in_ld_block
8_143155464_145078481	18
8_17530367_17978890	1
8_17978890_19635329	1
8_19635329_20203345	1
8_21804225_23039544	6
8_23039544_24817205	3
8_24817205_25625938	1
8_25625938_26825008	1
8_26825008_28304875	1
8_29470379_31276213	4
8_35459714_37521871	1
8_37521871_39081287	2
8_40845818_41863936	1
8_45929693_49169911	2
8_52390370_53505484	1
8_56043824_58156092	1
8_71377219_72904964	2
8_7295557_9297184	5
8_74532829_75544307	1
8_89625933_92542158	3
8_9297184_9783277	1
8_95522578_98389353	1
8_9783277_10605687	6
9_110015744_112068802	6
9_112068802_112930865	3
9_112930865_114257521	3
9_114257521_115159681	1
9_115159681_118559259	2
9_119498019_122109043	7
9_124209608_126297386	2
9_126297386_127293231	3
9_127293231_129403191	1
9_129403191_130347830	1
9_132423455_134176000	7
9_136047132_136605890	4
9_136605890_138254346	3
9_14836365_16659657	1
9_16659657_18661053	1
9_18661053_20463536	3
9_20463536_22206560	2
9_3190064_4495328	1
9_33578336_34642246	4
9_34642246_36743286	6
9_4495328_4884926	1
9_4884926_6557589	1
9_6557589_7154923	1
9_7154923_8456299	1
9_76285267_76856292	1
9_82825886_84323281	2
9_85975502_87521331	1
9_87521331_89827251	3
9_91404921_93909416	7
9_93909416_96159758	3
9_96159758_98830577	6
