sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188249	NA20802	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125366	TSI	Tuscan	EUR	European
ERR188250	HG00272	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123420	FIN	Finnish	EUR	European
ERR188251	NA20756	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124175	TSI	Tuscan	EUR	European
ERR188252	NA20544	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125146	TSI	Tuscan	EUR	European
ERR188253	NA20808	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122813	TSI	Tuscan	EUR	European
ERR188254	NA20506	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124362	TSI	Tuscan	EUR	European
ERR188255	HG00323	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123795	FIN	Finnish	EUR	European
ERR188256	NA12777	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125252	CEU	CEPH	EUR	European
ERR188257	HG00143	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124393	GBR	British	EUR	European
ERR188258	NA20530	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124169	TSI	Tuscan	EUR	European
ERR188259	NA20582	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123474	TSI	Tuscan	EUR	European
ERR188260	HG00369	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124534	FIN	Finnish	EUR	European
ERR188261	NA19108	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125378	YRI	Yoruba	AFR	African
ERR188262	NA12283	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124639	CEU	CEPH	EUR	European
ERR188263	HG00281	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122832	FIN	Finnish	EUR	European
ERR188264	HG00274	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123422	FIN	Finnish	EUR	European
ERR188265	NA20814	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125188	TSI	Tuscan	EUR	European
ERR188266	HG00282	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122833	FIN	Finnish	EUR	European
ERR188267	HG00266	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123576	FIN	Finnish	EUR	European
ERR188268	NA19095	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123170	YRI	Yoruba	AFR	African
ERR188269	NA18916	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123408	YRI	Yoruba	AFR	African
ERR188270	HG00342	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124924	FIN	Finnish	EUR	European
ERR188271	HG00246	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123219	GBR	British	EUR	European
ERR188272	NA11881	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123209	CEU	CEPH	EUR	European
